q1_completions,prior_before_q1,ever_completions,tutored,multi_interest,enroll_date,module12_date,exposure_end,exposure_days_q1,offset_log_days
11,0,11,1,0,2/21/2025 17:38,34:06.1,34:06.1,115,4.744932128
5,0,5,1,0,12/12/2024 16:40,,59:59.0,181,5.198497031
0,0,0,0,0,3/19/2025 16:29,,59:59.0,104,4.644390899
1,0,1,0,0,4/25/2025 14:40,,59:59.0,67,4.204692619
1,0,1,0,0,5/23/2025 17:29,,59:59.0,39,3.663561646
0,0,0,0,0,3/21/2025 14:39,,59:59.0,102,4.624972813
1,0,1,0,0,4/25/2025 17:29,,59:59.0,67,4.204692619
0,0,0,0,0,3/7/2025 12:57,,59:59.0,116,4.753590191
0,0,0,0,1,5/30/2025 14:36,,59:59.0,32,3.465735903
0,0,0,0,0,4/18/2025 14:32,,59:59.0,74,4.304065093
0,0,0,0,0,4/11/2025 14:40,,59:59.0,81,4.394449155
10,1,11,0,0,12/12/2024 16:41,18:32.2,18:32.2,142,4.955827058
1,0,1,0,0,1/15/2025 16:37,,59:59.0,167,5.117993812
2,0,2,1,0,2/21/2025 14:46,,59:59.0,130,4.86753445
0,0,0,0,0,5/2/2025 14:35,,59:59.0,60,4.094344562
4,1,6,1,0,11/20/2024 16:49,,59:59.0,181,5.198497031
8,0,8,0,0,4/23/2025 16:30,,59:59.0,69,4.234106505
7,0,7,0,1,3/21/2025 17:26,,59:59.0,102,4.624972813
0,0,0,0,1,2/21/2025 17:32,,59:59.0,130,4.86753445
1,0,1,0,0,3/14/2025 14:56,,59:59.0,109,4.691347882
0,0,0,0,0,5/30/2025 14:38,,59:59.0,32,3.465735903
0,0,0,0,0,3/19/2025 16:29,,59:59.0,104,4.644390899
0,0,0,0,0,4/2/2025 16:51,,59:59.0,90,4.49980967
0,0,0,0,0,5/9/2025 14:40,,59:59.0,53,3.970291914
1,1,2,0,0,10/5/2024 15:18,,59:59.0,181,5.198497031
0,0,0,0,0,1/29/2025 16:38,,59:59.0,153,5.030437921
0,0,0,0,0,3/21/2025 17:28,,59:59.0,102,4.624972813
1,0,1,0,0,10/28/2024 10:39,,59:59.0,181,5.198497031
2,0,2,1,0,2/19/2025 16:42,,59:59.0,132,4.882801923
0,0,0,0,0,5/9/2025 14:40,,59:59.0,53,3.970291914
0,0,0,0,0,1/30/2025 22:10,,59:59.0,152,5.023880521
2,0,2,0,0,1/15/2025 16:36,,59:59.0,167,5.117993812
0,0,0,0,0,3/12/2025 16:27,,59:59.0,111,4.709530201
3,0,4,1,0,4/4/2025 14:42,,59:59.0,88,4.477336814
12,0,12,0,0,1/31/2025 10:31,16:45.9,16:45.9,77,4.343805422
0,0,0,0,0,5/28/2025 16:26,,59:59.0,34,3.526360525
1,0,1,0,1,5/2/2025 17:37,,59:59.0,60,4.094344562
8,0,8,0,0,1/31/2025 17:34,,59:59.0,151,5.017279837
2,0,2,0,0,5/21/2025 16:48,,59:59.0,41,3.713572067
1,0,1,0,0,2/21/2025 17:44,,59:59.0,130,4.86753445
1,0,1,0,0,5/6/2025 18:32,,59:59.0,56,4.025351691
0,1,8,0,0,10/16/2024 16:40,,59:59.0,181,5.198497031
1,1,3,0,0,10/17/2024 9:34,,59:59.0,181,5.198497031
2,0,3,0,0,5/7/2025 17:08,,59:59.0,55,4.007333185
2,0,2,0,1,12/4/2024 16:38,,59:59.0,181,5.198497031
0,0,0,0,0,4/2/2025 16:31,,59:59.0,90,4.49980967
2,0,2,0,1,12/12/2024 16:41,,59:59.0,181,5.198497031
1,0,1,0,0,1/7/2025 16:39,,59:59.0,175,5.164785974
2,0,2,0,0,3/7/2025 17:31,,59:59.0,116,4.753590191
0,0,0,0,0,1/22/2025 16:37,,59:59.0,160,5.075173815
0,0,0,0,0,2/5/2025 16:27,,59:59.0,146,4.983606622
0,0,0,0,0,3/12/2025 16:31,,59:59.0,111,4.709530201
1,0,1,0,0,4/23/2025 16:30,,59:59.0,69,4.234106505
0,1,1,0,0,3/21/2025 17:29,,59:59.0,102,4.624972813
2,0,2,0,0,5/9/2025 17:22,,59:59.0,53,3.970291914
1,0,1,0,0,1/29/2025 16:33,,59:59.0,153,5.030437921
1,0,1,1,0,3/7/2025 14:41,,59:59.0,116,4.753590191
0,0,0,0,0,2/5/2025 16:30,,59:59.0,146,4.983606622
